country,paxp_dom,paxp_int_dep,paxp_int_arr,paxp_int,paxp_tot,year
MH,0.2815573770491803,0.7809426229508196,0.34602970927093263,1.1269723322217522,1.4085297092709326,2015
MK,0.0015173962792736292,0.3554913586680442,0.052932928588335475,0.4084242872563797,0.4099416835356533,2015
ML,0.0,0.01957357980859701,0.025909405699051875,0.045482985507648885,0.045482985507648885,2015
MM,0.04884476628419206,0.03806498205799691,0.1129479580529162,0.1510129401109131,0.19985770639510514,2015
MN,0.042165598419096624,0.13693312270747848,0.012624136887795831,0.14955725959527433,0.19172285801437094,2015
MO,0.0,4.7212634949106285,0.06198086969351974,4.7832443646041485,4.7832443646041485,2015
MR,0.007944610622550561,0.047556971718567945,0.010136701414099464,0.057693673132667406,0.06563828375521796,2015
MT,0.0,4.883410490359117,0.13409516747550387,5.017505657834621,5.017505657834621,2015
MU,0.10880191909616761,0.9317126772552281,0.16898016446608444,1.1006928417213127,1.2094947608174802,2015
MV,2.4694362308888858,3.9284579847438073,0.08422863980091577,4.012686624544723,6.482122855433609,2015
MW,0.006959901348428942,0.016800359273579535,0.01753697048175912,0.03433732975533865,0.041297231103767595,2015
MX,0.25056768143162317,0.155955648519654,0.4342848980322305,0.5902405465518845,0.8408082279835076,2015
MY,0.6723027504612299,0.5521507871308874,1.495491934366639,2.0476427214975264,2.719945471958756,2015
MZ,0.01995237078554679,0.016684237639509922,0.02955634322990147,0.04624058086941139,0.06619295165495818,2015
NA,0.021534768142189277,0.21701975319041403,0.0232041729091887,0.24022392609960272,0.261758694241792,2015
NE,0.0006346197883216518,0.007496176684087032,0.010394396172886265,0.0178905728569733,0.01852519264529495,2015
NG,0.018765551782103915,0.012285377500713561,0.13313272758565353,0.1454181050863671,0.16418365686847103,2015
NI,0.0,0.12025156205864718,0.050683596253886576,0.17093515831253375,0.17093515831253375,2015
NL,0.0018679599680442999,1.0632802127589804,1.6249452275085363,2.6882254402675168,2.690093400235561,2015
NO,2.652866571569343,2.1017540080284856,1.3281980936791222,3.429952101707608,6.08281867327695,2015
NP,0.029028132886619498,0.06900667055329125,0.22239751201224017,0.2914041825655314,0.3204323154521509,2015
NR,0.0,2.8508307467591747,0.0901519962887871,2.940982743047962,2.940982743047962,2015
